,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,tipo_propiedad,tipo_operac
255746,yA06elvOssftt3YeZkHs4A==,Propiedad,2020-01-13,2020-01-14,2020-01-13,-34.573296,-58.473362,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,37.0,,108000.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Echeverria 4200,Departamento,Venta
256110,p3TTvkQvSW1Bx8CPZZdgsw==,Propiedad,2020-01-13,2020-04-01,2020-01-13,-34.569587,-58.488053,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,49.0,47.0,160000.0,USD,,"Departamento 2 Amb Balcon,  Cochera y Pileta",Departamento,Venta
256498,MZAG5VswUM7ZFPF80WR9Hg==,Propiedad,2020-01-13,2020-05-04,2020-01-13,-34.5711429,-58.4970589,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,,90.0,325000.0,USD,Mensual,Departamento - Villa Urquiza,Departamento,Venta
257585,17HW8aWYrXpXgph2wB5qVw==,Propiedad,2019-11-16,2019-12-10,2019-11-16,,,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,67.0,62.0,23500.0,ARS,,ALQUILER 2 AMBIENTES CON BALCÓN - VILLA URQUIZA,Departamento,Alquiler
257586,4jXDAVAKhmIM2aG74QSngA==,Propiedad,2019-11-16,2019-11-20,2019-11-16,-34.57444,-58.48257065,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,45.0,41.0,20000.0,ARS,,Av F De Olazabal  4800 8°  - $ 20.000 - Departamento Alquiler,Departamento,Alquiler
257587,yG9j8JdEu/nq2h5YWGrKsA==,Propiedad,2019-11-16,2019-12-18,2019-11-16,-34.5752182,-58.48394012,Argentina,Capital Federal,Villa Urquiza,,,,,,,45.0,41.0,20000.0,ARS,,Olazabal  4800 8°  - $ 20.000 - Departamento Alquiler,Departamento,Alquiler
257588,N3FdJ34sLqRE0vYPHwXSug==,Propiedad,2019-11-16,2020-01-04,2019-11-16,-34.57444,-58.48257065,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,45.0,41.0,17000.0,ARS,,Av F De Olazabal  4800 8°  - $ 17.000 - Departamento Alquiler,Departamento,Alquiler
257589,SLSIJTjQ3Ir9hNPKf+D8YQ==,Propiedad,2019-11-16,2019-11-26,2019-11-16,-34.5772523,-58.4812718,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,40.0,31.0,16500.0,ARS,Mensual,Departamento 1 ambiente balcón terraza - Villa Urquiza,Departamento,Alquiler
257652,57a9HUo3ehxhvjqDGnJT7Q==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.582966,-58.476838,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,380.0,380.0,200000.0,ARS,,Alquiler - De Los Incas Av. 4701,Local comercial,Alquiler
257653,iUgS6+Rji+BJxlyWw1UqWg==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5848240265,-58.4787977734,Argentina,Capital Federal,Villa Urquiza,,,,,,2.0,244.0,191.0,95000.0,ARS,,AMPLIO LOCAL DOBLE ALTURA EN ESQUINA-OFICINAS-BAÑOS- 20mts VIDRIERA,Local comercial,Alquiler
257934,ZA95Uydu7zmHB4UhrOJBYg==,Propiedad,2019-11-16,2019-12-19,2019-11-16,-34.5672242844,-58.4891438418,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,63.0,55.0,28000.0,ARS,,$28.000 - 3 amb - Villa Urquiza - Pacheco 3100,Departamento,Alquiler temporal
257935,H0nm+xGV51rLoHS4FCkTjw==,Propiedad,2019-11-16,2019-12-19,2019-11-16,-34.5672242844,-58.4891438418,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,63.0,55.0,28000.0,ARS,,$28.000 - 3 amb - Villa Urquiza - Pacheco 3100,Departamento,Alquiler
258008,dgwdMt62anTMLhUgstMhvw==,Propiedad,2019-11-16,2019-11-22,2019-11-16,-34.5644361,-58.4945256,Argentina,Capital Federal,Villa Urquiza,,,,,3.0,1.0,270.0,120.0,39500.0,ARS,,NUÑEZ 5300 / VILLA URQUIZA / ALQUILER 4 AMBIENTES CON COCHERA,Casa,Alquiler
258034,Fcyacsds/KOHviIf90JZHQ==,Propiedad,2019-11-16,2019-11-21,2019-11-16,-34.5759116,-58.4849138,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,3.0,143.0,134.0,45000.0,ARS,,FANTASTICO 143m2 A LA CALLE CON BALCON TERRAZA CON AMENITIES,Departamento,Alquiler
258094,1aFkDhHDOmVlX9v1uZSJKA==,Propiedad,2019-11-16,2019-12-13,2019-11-16,-34.6039197,-58.5232725,Argentina,Capital Federal,Villa Urquiza,,,,4.0,,1.0,150.0,116.0,270000.0,USD,Mensual,Venta de PH en Villa Devoto en excelentes condiciones,PH,Venta
258515,WoLzD4LJqLvb5bh3kmDr2Q==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5688599,-58.4927818,Argentina,Capital Federal,Villa Urquiza,,,,,,,,,25900.0,USD,,Cochera fija ubicada en edificio sobre Av Triunvirato,Cochera,Venta
258560,klmqjihfaos+81XrlGG3Yg==,Propiedad,2019-11-16,2019-11-27,2019-11-16,-34.5752179,-58.4839384,Argentina,Capital Federal,Villa Urquiza,,,,,,2.0,88.0,67.0,274000.0,USD,,"VILLA URQUIZA: EXCELENTE 3 AMBIENTES BALCON CONTRAFRENTE Y COCHERA FIJA , APTO PROFESIONAL Y COMERCIAL",Oficina,Venta
258892,287s3r4OpqX+z07LYBm15A==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5817366,-58.4739813,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,41.0,36.0,99000.0,USD,,VENTA DE AMPLIO  MONOAMBIENTE A ESTRENAR UBICADA EN LA MEJOR ZONA DE VILLA URQUIZA,Departamento,Venta
258893,192/fQ9jKF2mj/IkruJg2g==,Propiedad,2019-11-16,2020-05-20,2019-11-16,-34.5868855,-58.4815007,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,51.0,48.0,125000.0,USD,Mensual,2 AMBIENTES DE 50m2. Super Amplio TODO AL FRENTE!,Departamento,Venta
258894,MoudR/rahOCNR3FOFtjIpA==,Propiedad,2019-11-16,2020-07-16,2019-11-16,-34.5730581,-58.4810275,Argentina,Capital Federal,Villa Urquiza,,,,,,,63.0,52.0,174200.0,USD,,Departamento en venta a estrenar en Villa Urquiza - Financiacion,Departamento,Venta
258895,i79X1Vmy7m/gd66SUpYCDQ==,Propiedad,2019-11-16,9999-12-31,2019-11-16,-34.5861699,-58.4805376,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,,53.0,125900.0,USD,Mensual,Departamento - Villa Urquiza,Departamento,Venta
258896,cpoGyKboJDKmYyeAbcEvPQ==,Propiedad,2019-11-16,2019-12-13,2019-11-16,-34.5904693,-58.5052757,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,34.0,31.0,160000.0,USD,Mensual,Venta de Monoambiente en Villa Pueyrredon con cochera,Departamento,Venta
258897,yF1YG7+6x84AR+4S8f8Msw==,Propiedad,2019-11-16,2019-11-27,2019-11-16,-34.572236,-58.4785043,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,39.0,33.0,85000.0,USD,,RETASADO- VENTA DE MONOAMBIENTE A ESTRENAR EN LA MEJOR ZONA DE VILLA URQUIZA,Departamento,Venta
259253,ugFVLBraOoCYbWN4ZvJIaQ==,Propiedad,2019-11-16,2019-11-22,2019-11-16,-34.5741362,-58.472574,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,72.0,49.0,170000.0,USD,,DEPARTAMENTO DE 2 AMBIENTES EN COGHLAN CON AMENITIES,Departamento,Venta
259254,wNA6AlgLt/UlKzbc/5/PxQ==,Propiedad,2019-11-16,2019-12-28,2019-11-16,-34.572411,-58.483283,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,42.0,36.0,110000.0,USD,,DEPARTAMENTO 2 AMBIENTES CON BALCÓN - VENTA,Departamento,Venta
259255,GYYSv+L68MtOL/pDR+xHhw==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5665893,-58.4975374,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,39.0,33.0,69900.0,USD,,PH PLANTA BAJA CON PATIO,Departamento,Venta
259256,spSs5XIs6kKhhyP+aYnMWA==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5748738,-58.4761804,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,57.0,43.0,210000.0,USD,,"Departamento en venta 2 ambientes a estrenar en Villa Urquiza, balcón con parrilla y cochera cubierta",Departamento,Venta
259557,iKy9RJWXWrn7Khu24uxQNw==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5817366,-58.4739813,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,77.0,65.0,195000.0,USD,,VENTA DE AMPLIO 3 AMBIENTES CON COCHERA A ESTRENAR UBICADA EN LA MEJOR ZONA DE VILLA URQUIZA,Departamento,Venta
259558,Wv2YMpECFvqrvMsEEIqr7w==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.576439,-58.4861475,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,52.0,52.0,150000.0,USD,,departamento 3 ambientes,Departamento,Venta
259559,rf9/BFOW/tDrqEXm1+L5tw==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5705179,-58.4914578,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,80.0,80.0,329000.0,USD,,VENTA DE INCREÍBLE DEPARTAMENTO 3 AMBIENTES CON COCHERA VILLA URQUIZA,Departamento,Venta
259600,/36b786fV8icEJNjpIUTYg==,Propiedad,2019-11-16,2020-04-22,2019-11-16,-34.5631878,-58.4830142,Argentina,Capital Federal,Villa Urquiza,,,,5.0,3.0,2.0,147.0,105.0,360000.0,USD,,"VENTA PH V. URQUIZA,5 AMB. 2 PATIOS,TERRAZA, EXCELENTE PROPIEDAD!",PH,Venta
259851,qncIgKUPjzI1tuAqtvwzwA==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5817366,-58.4739813,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,3.0,110.0,98.0,295000.0,USD,,VENTA DE AMPLIO 4 AMBIENTES CON COCHERA A ESTRENAR UBICADA EN LA MEJOR ZONA DE VILLA URQUIZA,Departamento,Venta
260341,ykyl6pOVP+O2/9DhPlEsKg==,Propiedad,2020-10-19,2020-10-23,2020-10-19,-34.5705015,-58.4892497,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,,,21000.0,ARS,,"Villa Urquiza, 2 ambientes contrafrente, Alquiler",Departamento,Alquiler
260413,1MJ68n8YZXYnt0rjPKOlTA==,Propiedad,2020-10-19,2020-10-20,2020-10-19,-34.5742356,-58.4921394,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,,56.0,35000.0,ARS,Mensual,"Departamento 3 ambientes amplios, excelente estado, balcon, luz",Departamento,Alquiler
260414,t8unSptGuLi90CxKrQLrfw==,Propiedad,2020-10-19,9999-12-31,2020-10-19,-34.5744023,-58.4833594,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,,,30000.0,ARS,,Alquiler en Villa Urquiza 3 ambientes con cochera,Departamento,Alquiler
260755,Jt9oHMDNTN2OwyK+z1h1XA==,Propiedad,2020-10-19,2020-11-10,2020-10-19,-34.57273865,-58.47793961,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,40.0,31.0,85000.0,USD,,Lugones  2200 1°  - U$D 85.000 - Departamento en Venta,Departamento,Venta
261019,ovWP2Pv8Ra2mnQqQcbqe0A==,Propiedad,2020-10-19,2020-10-19,2020-10-19,-34.566536,-58.4796377,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,,66.0,54.0,212000.0,USD,Mensual,Departamento venta,Departamento,Venta
261020,GnEFICzapoXE5O5hOo508g==,Propiedad,2020-10-19,9999-12-31,2020-10-19,-34.5693496,-58.4892718,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,60.0,54.0,160000.0,USD,Mensual,Departamento - Villa Urquiza,Departamento,Venta
261200,ZOoEshol8p7q8cdx5epqDw==,Propiedad,2020-10-19,9999-12-31,2020-10-19,-34.5701444,-58.4838385,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,75.0,65.0,195000.0,USD,,VENTA DEPARTAMENTO SEMI PISO DE 3 AMBIENTES EN VILLA URQUIZA,Departamento,Venta
261201,fkWaL6jU96oPFV3cXkUBxg==,Propiedad,2020-10-19,2020-10-19,2020-10-19,-34.577954,-58.468057,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,,45.0,130000.0,USD,Mensual,Hermoso departamento 3 ambientes,Departamento,Venta
261202,qo4KzZRHN2t06B4jEFfodw==,Propiedad,2020-10-19,9999-12-31,2020-10-19,-34.5834829,-58.4742485,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,80.0,70.0,190000.0,USD,,"VENTA DEPTO 3 AMBIENTES CON COCHERA, EN PARQUE CHAS, A 1 CUADRA DEL SUBTE B.",Departamento,Venta
261228,6NPutVWynDCIlrXT0C8LLA==,Propiedad,2020-10-19,2020-12-01,2020-10-19,-34.5617493,-58.4852916,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,2.0,175.0,175.0,359000.0,USD,Mensual,Venta Triplex en Villa Urquiza,PH,Venta
261375,vOi+szSjYhmXr3TpBxPLVQ==,Propiedad,2020-10-19,2020-10-27,2020-10-19,-34.581608,-58.487008,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,1.0,98.0,90.0,225000.0,USD,,Departamento 4 Amb c/balcón- Venta - Villa Urquiza,Departamento,Venta
261451,Zlft3uLGRszaBwPkJzAexQ==,Propiedad,2020-10-19,2020-11-25,2020-10-19,-34.5724481,-58.5010822,Argentina,Capital Federal,Villa Urquiza,,,,5.0,3.0,3.0,335.0,335.0,430000.0,USD,Mensual,Local - Villa Urquiza,Local comercial,Venta
261550,2OoE5FU94GHEGR0s8LaHsg==,Propiedad,2020-01-17,2020-02-11,2020-01-17,-34.57555,-58.43981,Argentina,Capital Federal,Villa Urquiza,,,,,7.0,5.0,3753.0,1153.0,,,Mensual,Casa de 8 ambientes en Alquiler en Villa urquiza,Casa,Alquiler
261572,kw7/2hjsmvOCRRRPx6dhCQ==,Propiedad,2020-01-17,2020-05-04,2020-01-17,-34.5717805,-58.4965847,Argentina,Capital Federal,Villa Urquiza,,,,,,,4105.0,,,,Mensual,Depósito - Villa Urquiza,Lote,Venta
261679,6ALmH2n8SCcHsaQO5ZJ6eQ==,Propiedad,2020-01-17,2020-06-27,2020-01-17,-34.57369,-58.48181,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,56.0,52.0,,,Mensual,Excelente Semipiso de 3 Amb. c/Cochera. V. Urquiza,Departamento,Venta
261894,LR5CMvgxSQyKh7YD+Me0gg==,Propiedad,2020-01-17,2020-09-20,2020-01-17,-34.58678055,-58.47853851,Argentina,Capital Federal,Villa Urquiza,,,,,,,,6.0,3500.0,ARS,,Bucarelli  1200 - $ 3.500 - Cochera Alquiler,Cochera,Alquiler
262117,4wVT1N9K4ftrATQUZGD31A==,Propiedad,2020-01-17,2020-06-17,2020-01-17,-34.58304596,-58.47029114,Argentina,Capital Federal,Villa Urquiza,,,,,,,76.0,70.0,32000.0,ARS,,Av. Triunvirato   3400 - $ 32.000 - Local Alquiler,Local comercial,Alquiler
262118,Qa3YAfFlZbqQWQkNIAXB4Q==,Propiedad,2020-01-17,2020-06-17,2020-01-17,-34.583004,-58.47021866,Argentina,Capital Federal,Villa Urquiza,,,,,,,36.0,30.0,17000.0,ARS,,Av. Triunvirato   3400 - $ 17.000 - Local Alquiler,Local comercial,Alquiler
262119,MaBYv9nWqM28lwALMags+g==,Propiedad,2020-01-17,2020-06-17,2020-01-17,-34.58304596,-58.47029114,Argentina,Capital Federal,Villa Urquiza,,,,,,,40.0,40.0,17000.0,ARS,,Av. Triunvirato   3400 - $ 17.000 - Local Alquiler,Local comercial,Alquiler
262131,HGp/w/8cNSDea0EdI6Ss0g==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.5810850857,-58.4837040714,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,30.0,25.0,10000.0,ARS,,PH 1 amb con entrepiso y patio SIN EXPENSAS!!,PH,Alquiler
262272,4+LouYxXfeOfAjmnfk9UZA==,Propiedad,2020-01-17,2020-01-24,2020-01-17,-34.575843,-58.481734,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,40.0,37.0,15000.0,ARS,,ALQUILER MODERNO MONOAMBIENTE DIVISIBLE C/ BALCÓN - VILLA URQUIZA,Departamento,Alquiler
262273,AyorZtW0FPSeNNGBb+i2ag==,Propiedad,2020-01-17,2020-02-24,2020-01-17,-34.5718273,-58.4837186,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,40.0,40.0,17000.0,ARS,Mensual,Departamento - Villa Urquiza,Departamento,Alquiler
262274,PUnbfyWQ31HX2osvRfXNkg==,Propiedad,2020-01-17,2020-02-08,2020-01-17,-34.57853699,-58.48319244,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,2.0,48.0,44.0,24000.0,ARS,,Juramento  5100 8°  - $ 24.000 - Departamento Alquiler,Departamento,Alquiler
262275,vLHBHS33Y4pBoaKivxjyiA==,Propiedad,2020-01-17,2020-01-29,2020-01-17,-34.583228,-58.477607,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,26.0,26.0,12000.0,ARS,,Departamento Monoambiente cocina separada Alquiler,Departamento,Alquiler
262507,F+uhzIRYqIA+5n2J+uz4lA==,Propiedad,2020-01-17,2020-02-28,2020-01-17,-34.577368,-58.471103,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,63.0,40.0,31000.0,ARS,,2 Ambientes c/ Terraza propia. Alquiler temporario,Departamento,Alquiler temporal
262508,u496FDJKlKZGmBUYYSDR0w==,Propiedad,2020-01-17,2020-01-19,2020-01-17,-34.576589,-58.486327,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,40.0,41.0,20000.0,ARS,,Alquiler 2 Ambientes Villa Urquiza,Departamento,Alquiler
262509,zmuOUznbgWpVxsUpAa5rTg==,Propiedad,2020-01-17,2020-01-17,2020-01-17,-34.5779108,-58.4973201,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,42.0,42.0,15500.0,ARS,Mensual,DEPARTAMENTO 2 AMBIENTES CONTRA FRENTE BALCON A PULMON DE MANZANA TODO LUZ Y SOL,Departamento,Alquiler
262510,DBVrS9ItFy3crBk5GQutpg==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.578141,-58.48558,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,53.0,47.0,22500.0,ARS,,ALQUILER DEPARTAMENTO 2 AMB VILLA URQUIZA,Departamento,Alquiler
262511,qwGJhCLHFebQ3e2RbDBKmg==,Propiedad,2020-01-17,2020-02-01,2020-01-17,-34.568712,-58.49281,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,45.0,45.0,23000.0,ARS,,ALQUILER 2 AMBIENTES CON COCHERA EN VILLA URQUIZA,Departamento,Alquiler
262693,2CCa1X0xCgAcePdgXY0p/g==,Propiedad,2020-01-17,2020-01-18,2020-01-17,-34.57805634,-58.48326111,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,,108.0,92.0,35000.0,ARS,,Avalos  2000 8°  - $ 35.000 - Departamento Alquiler,Departamento,Alquiler
263469,qb0PcT/cI6a4rhRYpoUOqA==,Propiedad,2020-01-17,2020-03-06,2020-01-17,,,Argentina,Capital Federal,Villa Urquiza,,,,,,,,,330000.0,USD,Mensual,Terreno en venta en Parque Chas – Ideal Duplex/PH/Deptos,Lote,Venta
263689,ygKkOfPdjIQeAUHwAbOGIQ==,Propiedad,2020-01-17,2020-01-28,2020-01-17,-34.57233047,-58.47690582,Argentina,Capital Federal,Villa Urquiza,,,,,,,,,380000.0,USD,,Mariano Acha  2200 - U$D 380.000 - Terreno en Venta,Otro,Venta
264202,Iksm01eCYQJIiTiZz/z+KQ==,Propiedad,2020-01-17,2020-06-18,2020-01-17,-34.57963562,-58.47525024,Argentina,Capital Federal,Villa Urquiza,,,,,,,49.0,44.0,95000.0,USD,,Giribone  2300 8°  - U$D 95.000 - Departamento en Venta,Departamento,Venta
264296,BgM4asz1aSSLF8JYsNb9vg==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.576272,-58.485141,Argentina,Capital Federal,Villa Urquiza,,,,,,,30.0,30.0,108000.0,USD,,VENTA-LOCAL-GALERIA-CON VIDRIERA-30M2,Local comercial,Venta
264498,Gfsqjk9hQTSnUhAw11iBaQ==,Propiedad,2020-01-17,2020-09-30,2020-01-17,-34.56535,-58.481203,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,,,220000.0,USD,,"Departamento  en Venta ubicado en Villa Urquiza, Capital Federal",Departamento,Venta
264499,LsVD8BO9y1aPwCzA/YjztA==,Propiedad,2020-01-17,2020-02-13,2020-01-17,-34.5708902,-58.4884701,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,36.0,34.0,106000.0,USD,,Monoambiente muy luminoso con balcón al frente bajas expensas!,Departamento,Venta
264500,rhRmd5+hSTmeP76vJOj3yg==,Propiedad,2020-01-17,2020-05-26,2020-01-17,-34.5883996,-58.4786374,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,35.0,35.0,79000.0,USD,Mensual,Monoambiente con cocina independiente en Parque Chas!,Departamento,Venta
264501,A8w04ZE2+yW2CR42YYt9ng==,Propiedad,2020-01-17,2020-08-21,2020-01-17,-34.5752731,-58.4922648,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,37.0,37.0,109000.0,USD,Mensual,Excelente monoambiente con Parrilla propia en Villa Urquiza!,Departamento,Venta
264531,W2pGtEU6IpEzUid+V0nNGA==,Propiedad,2020-01-17,2020-03-03,2020-01-17,-34.572998,-58.497283,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,76.0,46.0,153000.0,USD,,VENTA PH 2 AMBIENTES MUY AMPLIOS EN VILLA URQUIZA,PH,Venta
264532,t/Adh+YVySJViXWrAaPQlA==,Propiedad,2020-01-17,2020-08-25,2020-01-17,-34.561491,-58.487765,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,52.0,44.0,129000.0,USD,,"Villa Urquiza, Ph urbanos planta baja con patio",PH,Venta
264848,T+7gUbJ7mITE7SdUsfjWzg==,Propiedad,2020-01-17,2020-09-02,2020-01-17,-34.580818,-58.491051,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,2.0,52.0,47.0,199600.0,USD,,POZO 3 AMBIENTES COCHERA OPCIONAL - VILLA URQUIZA,Departamento,Venta
264849,pp6MSCSf5Hm9gO67J8vlrw==,Propiedad,2020-01-17,2020-02-13,2020-01-17,-34.5693742,-58.4877465,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,50.0,44.0,180000.0,USD,,2 amb a estrenar en Villa Urquiza 50m2 totales CON COCHERA!,Departamento,Venta
264850,D61Vp20OYvc5IPAolr0Vlg==,Propiedad,2020-01-17,2020-01-31,2020-01-17,-34.569011,-58.502605,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,50.0,45.0,118000.0,USD,,Impecable 2 amb. Con balcón. Amplio. Apto Crédito.,Departamento,Venta
264851,ic/5l6EXScgIRqA8b7NU2Q==,Propiedad,2020-01-17,2020-02-13,2020-01-17,-34.5693742,-58.4877465,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,50.0,44.0,180000.0,USD,,2 amb a estrenar en Villa Urquiza 50m2 totales CON COCHERA!,Departamento,Venta
264852,HF+EXg9QQe9qvRpncaPC4Q==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.578633,-58.483501,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,42.0,38.0,128000.0,USD,,VENTA DEPARTAMENTO 2 AMBIENTES Villa Urquiza,Departamento,Venta
264853,9+cadYHIclhfc6ts3oziBA==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.571171,-58.499951,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,46.0,38.0,115000.0,USD,,VENTA 2 AMB IMPECABLE BALCÓN PARRILLA URQUIZA,Departamento,Venta
264854,kxGKqi2Ol/kU9pQD1ddkMQ==,Propiedad,2020-01-17,2020-02-13,2020-01-17,-34.5770098,-58.4856276,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,58.0,58.0,169000.0,USD,,"VENTA DEPARTAMENTO 2AMB 1/2 , EN DUPLEX EXCELENTE UBICACION",Departamento,Venta
264855,HMXvyuppKF/rvkYy6Fu+8Q==,Propiedad,2020-01-17,2020-02-17,2020-01-17,-34.575386,-58.481245,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,44.0,39.0,110000.0,USD,,VENTA 2 AMB - VILLA URQUIZA,Departamento,Venta
264856,R5LffBURYZEngFACCeGK/Q==,Propiedad,2020-01-17,2020-06-27,2020-01-17,-34.580818,-58.491051,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,2.0,52.0,47.0,197600.0,USD,,POZO 3 AMBIENTES COCHERA OPCIONAL - VILLA URQUIZA,Departamento,Venta
264924,0Wm0eQGcjMeOwhy1DPIMHQ==,Propiedad,2020-01-17,2020-01-19,2020-01-17,-34.572137,-58.490627,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,100.0,70.0,199000.0,USD,,PH venta 3 ambientes Villa Urquiza,PH,Venta
264925,FuS5+9MOQZZwgC/MXpvfDQ==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.569628,-58.497965,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,79.0,62.0,195000.0,USD,,PH VENTA 3 AMB C/ PATIO VILLA URQUIZA,PH,Venta
264926,GVe8DjxlJH3QFG9XX3BVQQ==,Propiedad,2020-01-17,2020-02-21,2020-01-17,-34.5760598,-58.4734273,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,117.0,85.0,339000.0,USD,Mensual,Moderno y cómodo PH de 3 amb en Venta. Primer piso por escalera. DOHO - Villa Urquiza,PH,Venta
265236,IzQ7cdMiB7HBshsPAnyfIA==,Propiedad,2020-01-17,2020-04-29,2020-01-17,-34.5858,-58.479301,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,75.0,64.0,240000.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Victorica 2890,Departamento,Venta
265237,KVj83hut1fdHSk24J75rzw==,Propiedad,2020-01-17,2020-05-05,2020-01-17,-34.5673906,-58.4771877,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,56.0,56.0,155000.0,USD,Mensual,Departamento - Villa Urquiza - Tres ambientes en Gran Oportunidad - RETASADO!!,Departamento,Venta
