FECHA,TMAX,TMIN,NOMBRE
8032023,25,10.4,MAQUINCHAO
8032023,26,18.8,MAR DEL PLATA AERO
8032023,35.5,13,MARCOS JUAREZ AERO
8032023,34.4,,MARIANO MORENO AERO
8032023,33.7,20.8,MENDOZA AERO
8032023,32.9,18.4,MENDOZA OBSERVATORIO
8032023,35.5,21,MERCEDES AERO (CTES)
8032023,,21.5,MERLO AERO
8032023,29,19,METAN
8032023,,22.5,MONTE CASEROS AERO
8032023,34.2,22.9,MORON AERO
8032023,29.8,16,NEUQUEN AERO
8032023,32.6,15.8,NUEVE DE JULIO
8032023,33,20,OBERA
8032023,30.1,15.5,OLAVARRIA AERO
8032023,33,21.9,ORAN AERO
8032023,36,20.7,PARANA AERO
8032023,22.2,12.2,PASO DE INDIOS
8032023,37.4,22.6,PASO DE LOS LIBRES AERO
8032023,30.1,15.2,PEHUAJO AERO
8032023,,7,PERITO MORENO AERO
8032023,26.2,14.5,PIGUE AERO
8032023,34.9,16.5,PILAR OBSERVATORIO
8032023,33.1,22.4,POSADAS AERO
8032023,33.1,17.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
8032023,23.5,8.8,PUERTO DESEADO AERO
8032023,27.6,13.6,PUERTO MADRYN AERO
8032023,29.2,19.8,PUNTA INDIO B.A.
8032023,35.5,18,RAFAELA AERO
8032023,34.5,20.8,RECONQUISTA AERO
8032023,33.1,18.2,RESISTENCIA AERO
8032023,30.8,17,RIO COLORADO
8032023,32,16.7,RIO CUARTO AERO
8032023,18,6,RIO GALLEGOS AERO
8032023,11.4,-1.5,RIO GRANDE B.A.
8032023,32,20,RIVADAVIA
8032023,35.7,16.7,ROSARIO AERO
8032023,28.8,15.6,SALTA AERO
8032023,30.5,16.8,SAN ANTONIO OESTE AERO
8032023,34.6,14.9,SAN CARLOS (MZA)
8032023,32.3,22.2,SAN FERNANDO AERO
8032023,36,20.2,SAN JUAN AERO
8032023,23,10.5,SAN JULIAN AERO
8032023,32.5,18.5,SAN LUIS AERO
8032023,35.4,19.3,SAN MARTIN (MZA)
8032023,32,15.2,SAN RAFAEL AERO
8032023,24.5,8.2,SANTA CRUZ AERO
8032023,28.3,18,SANTA ROSA AERO
8032023,34,,SANTA ROSA DE CONLARA AERO
8032023,33.2,19.8,SANTIAGO DEL ESTERO AERO
8032023,35.2,16.1,SAUCE VIEJO AERO
8032023,36.8,18,SUNCHALES AERO
8032023,29.9,15.1,TANDIL AERO
8032023,33.2,22,TARTAGAL AERO
8032023,33.4,20.2,TERMAS DE RIO HONDO AERO
8032023,37,17,TINOGASTA
8032023,27.2,14.9,TRELEW AERO
8032023,,16.7,TRENQUE LAUQUEN
8032023,27.7,15.3,TRES ARROYOS
8032023,32.7,19.1,TUCUMAN AERO
8032023,13.5,3.8,USHUAIA AERO
8032023,30.5,13,USPALLATA
8032023,34.5,17,VENADO TUERTO AERO
8032023,27.1,18.4,VICTORICA
8032023,,13,VIEDMA AERO
8032023,36.6,16.7,VILLA DE MARIA DEL RIO SECO
8032023,35,16.5,VILLA DOLORES AERO
8032023,26,16.7,VILLA GESELL AERO
8032023,33,14,VILLA REYNOLDS AERO
7032023,30.6,22.2,AEROPARQUE AERO
7032023,30,15.7,AZUL AERO
7032023,29.6,17.8,BAHIA BLANCA AERO
7032023,19,8,BARILOCHE AERO
7032023,-9,-14.3,BASE BELGRANO II
7032023,3.4,0.4,BASE CARLINI (EX JUBANY)
7032023,1.7,-1.2,BASE ESPERANZA
7032023,-0.9,-2.5,BASE MARAMBIO
7032023,4.7,0.4,BASE ORCADAS
7032023,3.4,-0.8,BASE SAN MARTIN
7032023,28.3,17.6,BENITO JUAREZ AERO
7032023,28.6,18.2,BERNARDO DE IRIGOYEN AERO
7032023,30.6,19.5,BOLIVAR AERO
7032023,33,21.8,BUENOS AIRES OBSERVATORIO
7032023,,20,CAMPO DE MAYO AERO
7032023,34,19.8,CATAMARCA AERO
7032023,33.8,20,CERES AERO
7032023,33.5,20.5,CHAMICAL AERO
7032023,16,12.8,CHAPELCO AERO
7032023,33.5,18.5,CHEPES
7032023,,17.7,CHILECITO AERO
7032023,30.4,17.1,CIPOLLETTI
7032023,25,10.4,COMODORO RIVADAVIA AERO
7032023,33.9,21,CONCORDIA AERO
7032023,30.8,15.1,CORDOBA AERO
7032023,32.1,18,CORDOBA OBSERVATORIO
7032023,28.9,17.5,CORONEL PRINGLES AERO
7032023,27.8,19,CORONEL SUAREZ AERO
7032023,28.7,19.7,CORRIENTES AERO
7032023,32.7,18.6,DOLORES AERO
7032023,23.5,7.2,EL BOLSON AERO
7032023,17.9,5,EL CALAFATE AERO
7032023,33.8,21.4,EL PALOMAR AERO
